Elapsed_Sec,Timestamp,SimProfile,Protocol,Bitrate_kbps,Throughput_Mbps,Buffer_Sec,Resolution,Latency_ms,Dropped_Frames,Decoded_Frames,Corrupted_Frames,Stalls,Buffering_Time,Manifest_Time,License_Time,Estimated_BW_bps
0,20:00:00,3G UMTS,H3,300,1.8,2.1,640x360,110,0,100,0,0,0.0,0.12,0.0,1800000
5,20:00:05,3G UMTS,H3,300,1.6,1.8,640x360,120,1,200,0,0,0.5,0.12,0.0,1600000
10,20:00:10,3G UMTS,H3,480,2.1,3.0,854x480,105,1,300,0,0,0.5,0.12,0.0,2100000
15,20:00:15,3G UMTS,H3,480,1.9,2.5,854x480,115,2,400,0,1,1.2,0.12,0.0,1900000
20,20:00:20,3G UMTS,H3,480,1.7,2.0,854x480,130,3,500,0,1,1.5,0.12,0.0,1700000
25,20:00:25,3G UMTS,H3,300,1.5,1.5,640x360,125,3,600,0,1,1.5,0.12,0.0,1500000
0,20:01:00,4G LTE,H3,2000,18.5,6.0,1280x720,42,0,100,0,0,0.0,0.08,0.0,18500000
5,20:01:05,4G LTE,H3,2500,20.1,8.0,1280x720,38,0,200,0,0,0.0,0.08,0.0,20100000
10,20:01:10,4G LTE,H3,3000,19.8,9.0,1920x1080,40,1,300,0,0,0.0,0.08,0.0,19800000
15,20:01:15,4G LTE,H3,3000,21.0,10.0,1920x1080,35,1,400,0,0,0.0,0.08,0.0,21000000
20,20:01:20,4G LTE,H3,2500,18.0,7.5,1280x720,45,2,500,0,0,0.2,0.08,0.0,18000000
25,20:01:25,4G LTE,H3,3000,20.5,9.5,1920x1080,39,2,600,0,0,0.2,0.08,0.0,20500000
0,20:02:00,Actual WiFi,H3,5000,85.0,12.0,1920x1080,12,0,100,0,0,0.0,0.05,0.0,85000000
5,20:02:05,Actual WiFi,H3,5000,90.2,14.0,1920x1080,10,0,200,0,0,0.0,0.05,0.0,90200000
10,20:02:10,Actual WiFi,H3,5000,88.0,15.0,1920x1080,11,0,300,0,0,0.0,0.05,0.0,88000000
15,20:02:15,Actual WiFi,H3,5000,92.5,16.0,1920x1080,9,0,400,0,0,0.0,0.05,0.0,92500000
20,20:02:20,Actual WiFi,H3,5000,87.3,15.5,1920x1080,13,1,500,0,0,0.0,0.05,0.0,87300000
25,20:02:25,Actual WiFi,H3,5000,91.0,16.5,1920x1080,10,1,600,0,0,0.0,0.05,0.0,91000000
